,premise,hypothesis,label
5116,"It's a giant, packed stadium, and the two teams of the soccer agme border the edge of the field.",Soccer is being palyed in a stadium.,0
5117,A little girl wearing sandals and white clothes holds up a smYall wooden cage hanging by a string.,The girl wearing sandals and white clothes has a pet inside the caeg.,1
5118,A littel girl wearing sandals and white clothes holds up a small wooden cage hanging by a string.,A little girl is holding a cage to shwo people.,0
5119,A little girl wearing sandals and white clothes holdRs up a small wooden cage hanging by a string.,Thme little girl is holding a book.,2
5120,nI this picture a black man with dreads is working on a carving.,The black mpan is being artistic.,0
5121,In this picture a lback man with dreads is working on a carving.,The black man has lbonde hair.,1
5122,In this picture a blakc man with dreads is working on a carving.,The lback man has a shaved head.,2
5123,A maR chisels a sculpture outside on a chair and log.,A person chisels a sculpture outside on a chair and lgo.,0
5124,A man chisels a sculpture outside on a chaie and log.,A woman chisels a sulpture outside on a chair and log.,2
5125,A man chisels a sculpture outside on a cQair and log.,A sad moan chisels a sculpture outside on a chair and log.,1
5126,A man sits outside on a lwan chair using a hammer and chisel to shape a piece of wood.,A persno is outside.,0
5127,A man sits outside on a lawn chair using a hmamer and chisel to shape a piece of wood.,A person is chiseling a bir out of wood.,1
5128,A man iits outside on a lawn chair using a hammer and chisel to shape a piece of wood.,A owman is walking in the park.,2
5129,Man sitting on a chair in the firlds carving a statute supported by a tree trunk.,A man is carving a statue of a bea.,1
5130,Man sitting on a chair in the fields caving a statute supported by a tree trunk.,A mn is drawing a picture supported by a tree trunk.,2
5131,Man sitting on a chair in the fields carving a statute upported by a tree trunk.,A man carves a stJatue outside.,0
5132,An in-line sakter is attempting a trick in a long metal rail behind a large structure.,A skater does Nricks.,0
5133,eAn in-line skater is attempting a trick in a long metal rail behind a large structure.,A skater does tricks to impress his frieinds.,1
5134,An in-line skater is attempting a trick in a long metal rail bFhind a large structure.,A skatMr is carried off to the ER.,2
5135,"A man chiseling a sculpture, possibly out of stohne.",The man is a sculptPr.,0
5136,"A man chWiseling a sculpture, possibly out of stone.",Th sculpture is made of tacos.,2
5137,"A man chiseling a sDculpture, possibly out of stone.",Teh man is carving a human shape.,1
5138,A young dalmatian wears a Bat next to a tree.,A black lab is running loose in a fiezld.,2
5139,A younx dalmatian wears a hat next to a tree.,A dgo wearing a hat is next to a tree.,0
5140,A young dalmatian wears a hat next to a free.,A dalmatian puppy wearing a hat sits next to a treB.,1
5141,An Indian womn wearing loose fitting white clothing poses for a picture while bundling grass with two Westerners.,The picture is being taken iedoors.,2
5142,An Indian woman wearing looske fitting white clothing poses for a picture while bundling grass with two Westerners.,An indian woman is getting shown the town by two aVmericans,1
5143,An Indian woman wearing loose fitting white clothing poses for a picture while bundling grass with to Westerners.,The woHman is wearing white.,0
5144,An Indian woman wearing oose fitting white clothing poses for a picture while bundling grass with two Westerners.,An indian woman is wearing loose fitting lcothes,0
5145,An Indian woman wearing loose fitting white cltothing poses for a picture while bundling grass with two Westerners.,ThUe westerners are from Sweden.,1
5146,An Indian woman wearing loose fitting white clothing poses for a picture while bundling grass with two Weskterners.,An indian wman is wearing tight clothes,2
5147,Two boys splashing in the Vsurf.,Tow boys play outside.,0
5148,Two boys splashing in the surCf.,Two girls Dgo surfing.,2
5149,Two boys splashign in the surf.,Two kidEs are playing in the water.,1
5150,"Man cleaning a huge reflective diks, while wearing a protective mask.","ePrson cleaning a huge reflective disk, while wearing a protective mask.",0
5151,"Man cleaning a huge reflectiJe disk, while wearing a protective mask.","Woman clWeaning a huge reflective disk, while wearing a protective mask.",2
5152,"Man cleaning a huge reflective disk, while wearing a protective amsk.","Sad man cleaning a huge refleclive disk, while wearing a protective mask.",1
5153,"In this groYp of people, two men are in military camouflage and one is shaking hands with a woman.",OVne of the men is the woman's husband.,1
5154,"In this group of people, two men are in military camouflage and one is Jshaking hands with a woman.",There are two men ewaring beach shorts.,2
5155,"In this group of people, two men are in miiltary camouflage and one is shaking hands with a woman.",Tehre are two men in military camouflage.,0
5156,A little Ggirl around the age of five is trying to do the dishes in a kitchen.,A young girl does diNshes.,0
5157,A little girl Rround the age of five is trying to do the dishes in a kitchen.,A young girl hexlps her mom do dishes,1
5158,A ilttle girl around the age of five is trying to do the dishes in a kitchen.,A young gNirl is swinging,2
5159,"A little blond girl with a polka dot shHrt is giving a stuffed animal a ""bath"" in a sink.",A girl is playng video games.,2
5160,"A little blon girl with a polka dot shirt is giving a stuffed animal a ""bath"" in a sink.",A girl is washing her stuffed anmial.,0
5161,"A little blond irl with a polka dot shirt is giving a stuffed animal a ""bath"" in a sink.",A lBittle girl is bored so she is washing her animal.,1
5162,"A young girl, blond and wearing a polka-dot shirt, washes a stuffed aniRmal in a vanity sink.",A girl is usnig the sink.,0
5163,"A young girl, blond and wearing a polka-dot shirt, washes a stuffed aimal in a vanity sink.",A girl a rippin her stuffed bear.,2
5164,"A young girl, blond and wearing a polka-dot shirt, ashes a stuffed animal in a vanity sink.",A girl is cleaning her tsuffed bear.,1
5165,A biy makes a jump with a dirt bike with the sun setting behind him.,A Iboy rides a dirt bike.,0
5166,A bog makes a jump with a dirt bike with the sun setting behind him.,A boy is mountgin climbing.,2
5167,A boy makes a jump with a idrt bike with the sun setting behind him.,A boy rides into the sun seY.,1
5168,To black dogs collide.,Two doBgs collide  to fight.,1
5169,Two glack dogs collide.,Tow dogs shared their food.,2
5170,Two black odgs collide.,Thwo dogs are in love.,0
5171,A peYrson in the air on a bike.,A person is on a bik.,0
5172,A person in the air on a biske.,A person is perforimng a stunt.,1
5173,A person in the Nair on a bike.,A peson is fixing a flat tire.,2
5174,A smiling family congregate around a water spout in a psature.,A smilin family watches a rodeo.,2
5175,A smiling family congregate around a water spout in a pasutre.,A group of relaUted people are outside.,0
5176,A smiling family congrgate around a water spout in a pasture.,A family gathers for a photXo shoot.,1
5177,"A yKung child plays with a hose in a field with another child, and two adults.",A young child is palying,0
5178,"A young child plays with a hose in a field with another child, and two aduls.",There are fozur adults in a field.,2
5179,"A young child plays with a hose in a field with another child, and tbwo adults.",The children Fplaying are siblings.,1
5180,"A boy holding a hose next to a man while another boy watches on, geld by a woman.",People are outsie.,0
5181,"A boy holdng a hose next to a man while another boy watches on, held by a woman.",Peole are doing chores.,1
5182,"A boy holding a hose next to a man while anqother boy watches on, held by a woman.",People are seeping,2
5183,A child is playing with a water spot outdoors while the rest of his family watches.,The child is lpaying with the dog.,2
5184,A child is playing with a water spout outdoors while the resot of his family watches.,The family is watching the chlid.,0
5185,A child is playing with a water spout oyutdoors while the rest of his family watches.,The child is having un.,1
5186,A man in an orange shirt is helping a bqy qsuirt water from a hose into a pond whilst a woman and boy watch.,The man is wearing a red shirF while helping the boy.,2
5187,A man in an orange shirt is helping a bow squirt water from a hose into a ponb whilst a woman and boy watch.,Ilt is summertime.,1
5188,A mn in an orange shirt is helpign a boy squirt water from a hose into a pond whilst a woman and boy watch.,The mn is helping the boy with the hose.,0
5189,The black dog gest soaked as it plays in the water.,A dog enojys romping in a stream.,1
5190,ThS black dog gets soaked as it plays in the water.,A ct hisses at the water in the bathtub.,2
5191,The black dog jets soaked as it plays in the water.,The black dg is very wet.,0
5192,A grandmtoher is watching her grandchild on the Merry-Go-Round.,A grandmother is singing in the ain.,2
5193,A grandmother is wtaching her grandchild on the Merry-Go-Round.,A grandmother is watching a Ihild on the Merry-Go-Round.,0
5194,A granmother is watching her grandchild on the Merry-Go-Round.,A grandmother is watching her grandhild riding the green horse on the Merry-Go-Round.,1
5195,Bicyclists riding past a crowd of onlookeVs.,Bicyclist rides in the selcusion of the woods.,2
5196,Bicyclists riding pats a crowd of onlookers.,Bicyclist are naer people.,0
5197,Bicyclists riding past a crodw of onlookers.,Bicycplist are in a race.,1
5198,A guitarist sings for an outdor gig.,A musician is singinrg.,0
5199,A Suitarist sings for an outdoor gig.,The guitarist is a femLle.,1
5200,A guitarist sings for an outdwoor gig.,The guitarsit is indoors.,2
5201,Bicyclists racing in a marathon with spectators veiwing.,Athleets racing with people watching.,0
5202,Bicyclists racing in a marathon with spectators viewixng.,Bicyclists wearing black helmets Oracing in a marathon with spectators viewing.,1
5203,Bicyclists racing in a maathon with spectators viewing.,Bioyclists racing in a marathon with spectators throwing bottles at them.,2
5204,Someone is performing in the open without an audiencw.,The man prjepares his comedy act.,1
5205,Someone is performing in the open without an audiensce.,Te spaceships flies past jupiter.,2
5206,Someone is performing in the open without an auidence.,A person practices the performancle.,0
5207,"cyclists lean into a turn, behind them is a arricade and behind that are people watching the cycling race.",people watch bikTe race,1
5208,"cyclists lean into a turn, behind them is a barrPicade and behind that are people watching the cycling race.",people watchig cyclists,0
5209,"cyclists lean into a turn, behind them is a barricade and behiDd that are people watching the cycling race.",lady looks at tE,2
5210,Bicycle racers pass an audience waiting ehind gates on a cobbled street.,An audience watched casr pass by during a race.,2
5211,Bicycle racers pass an audience waiting behind ates on a cobbled street.,Bike riers pass by an audience.,0
5212,BAicycle racers pass an audience waiting behind gates on a cobbled street.,Bike riders in the Tour de France speed by and uadience.,1
5213,hTe person in green dress is crossing the signal.,A nSaked person is crossing.,2
5214,The person in green dress is crssing the signal.,A person is crosscng the street.,0
5215,The person in green drels is crossing the signal.,A man in a green dress is crossiUng.,1
5216,"Female with long black hair and wearing eyglasses, a blue shirt, sitting next to a male in a striped zshirt, at a table, cuXtting into a chocolate cake with a single red candle in it.",Female is eaRting cake with her friends.,2
5217,"Female with long lack hair and wearing eyeglsases, a blu shirt, sitting next to a male in a striped shirt, at a table, cutting into a chocolate cake with a single red candle in it.",Female with long black hai and wearing eyeglasses to avoid sunlight.,1
5218,"Female with long Qlack hair and wearing eyeglasses, a blue shirt, sitting next to a male in a striped shirt, at a table, cutting into a chcoolate cake with a sinUle red candle in it.",Female is celebrating with maxe in a striped shirt.,0
5219,A young boy poundAng on an anvil.,A byo is pounding.,0
5220,A yong boy pounding on an anvil.,A young boy is sitting and pounding on an aneil.,1
5221,A young boy pounding on an navil.,A child is sleping.,2
5222,A man in a uniform is crosing a street.,An army chief runs to Yatch a bus.,1
5223,A maFn in a uniform is crossing a street.,A person in a specail set of clothing moves to another place.,0
5224,A min in a uniform is crossing a street.,A boy in jeans and a ripped T-shirt sias in the shade of a large tree.,2
5225,Tw young men in a kitchen cooking.,two people coojking,0
5226,Two young men in a kicthen cooking.,people woring the garden,2
5227,Two young mn in a kitchen cooking.,two people cookin dinner,1
5228,WXrking man crossing the street.,The amn is driving to work.,2
5229,Working man crossing the treet.,The mPan in a suit crosses the street.,1
5230,Wsrking man crossing the street.,A man cosses the street.,0
5231,"A oyung boy, wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.",A youg man makes a braclet.,1
5232,"A young boy, wearing susenders and a red flannel shirt, hits a piece of metal on an anvil.",A kid learns how to make horse shoes at a craft efstival.,1
5233,"A young boy, wearing suspenders and a red fannel shirt, hits a piece of metal on an anvil.",A young pya hits the metal.,0
5234,"A young bFoy, wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.",A bo hits a piece of medal on an anvil.,0
5235,"A young uboy, wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.",A young amn role plays a character in Skyrim.,2
5236,"A young boy, wearing suspenders and a red flannel shirt, hits a piec of metal on an anvil.",A child has an anvil and a piece of metval and is dressed in flannel and suspenders.,0
5237,"A young boy, wearing susenders and a red flannel shirt, hits a piece of metal on an anvil.",A ikd hits a piece of metal on an anvil to bend it back in place.,1
5238,"A young boy, wearing suspenders and a rd flannel shirt, hits a piece of metal on an anvil.",A boy is making somethVing,1
5239,"A young boy, wearing suspenders and a red flannel sEhirt, hits a piece of metal on an anvil.",A ki holds a snowcone in one hand and a slurpee in the other.,2
5240,"A young boy, wearing suspenders and a red flannel shirt, hits a piece of aetal on an anvil.",A boy is sleepig,2
5241,"A young boy, wearing suspenders and a red flannel shirt, hits a piec of metal on an anvil.",The young irl plays the flute.,2
5242,"A young boy, wearing suspenders and a red lannel shirt, hits a piece of metal on an anvil.",A youHg boy is angry.,1
5243,"A young oby, wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.","A gir wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.",2
5244,"A young boy, wearing suspenders and a red flannel shirt, hits a pieoe of metal on an anvil.",A boy is workin.,0
5245,"A young byo, wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.",A boy wearing flannel hits metal on an anvl.,0
5246,A woman wearing a LittXle Mermaid costume stands in front of a bright red phone booth.,wouman on halloween,1
5247,A woman wearing a Little eMrmaid costume stands in front of a bright red phone booth.,Joy eats many cookies,2
5248,A woman wRearing a Little Mermaid costume stands in front of a bright red phone booth.,woamn in costume,0
5249,"Many people of Indian descent wearieg bright, colorful clothing& walking up steep flights of stairs.",A group of Russians are jgging in the park.,2
5250,"Many peoplge of Indian descent wearing bright, colorful clothing& walking up steep flights of stairs.",A group of Indians are going to a weddig.,1
5251,"Many people of Indian descent wearing bright, colorful clothing& walking up steXep flights of stairs.",There is a groud of Indians going up some stairs.,0
5252,A woman dresPsed as the mermaid Ariel next to a phone booth.,A woman dressde at cinderella.,2
5253,A woman dressed as the mermadi Ariel next to a phone booth.,A woman attending comihcon.,1
5254,A woman ressed as the mermaid Ariel next to a phone booth.,A woman cospalying as ariel.,0
5255,A woman dressed as the little emrmaid stands next to a phone booth.,a mermaid has washed up on the beeach,2
5256,A woman dressed as the little mermaid stands next to a phone bomoth.,a woamn is dreesed like the little mermaid.,0
5257,A womn dressed as the little mermaid stands next to a phone booth.,a woman is dressed like a mermaid for hallogween,1
5258,A man wearing bathing trupnks is parasailing in the water.,Te man has on clothes.,0
5259,A man wearing bathing trunks is parasailing in the wate.,The man is nakeHd and scared of the water.,2
5260,A man wearing Iathing trunks is parasailing in the water.,TVhe man is headed to a secluded island.,1
5261,A wmoan is walking with a costume on.,A person with some clothe on.,0
5262,A woman is walkig with a costume on.,A woman walking around in norml clothing.,2
5263,A womad is walking with a costume on.,A womn wearing a super girl costume.,1
5264,People ascending and descending a steep set of stairs with a large natuer formation in the background.,People are Msing the stairs.,0
5265,People ascending and descending a steep set of staris with a large nature formation in the background.,The eople are skipping rocks at the beach.,2
5266,People ascending and descending a steep set of stairs with a large nature formation in the backgrouGd.,The people are exiting the buildig.,1
5267,Orange and white hazard cones are resting on street tiels.,The cones are stcaked in a truck.,2
5268,Orange and white hazard cones are resting on street tles.,lThe cones are blocking the street for safety.,0
5269,Orange and awhite hazard cones are resting on street tiles.,Ths street is under construction.,1
5270,Orange dog walks in shallow waetr.,A odg is in the water.,0
5271,OranNge dog walks in shallow water.,A dog is playing oustide.,1
5272,Ornge dog walks in shallow water.,ThYe dog is sleeping.,2
5273,A golden haired dog wnalking through shallow water,A yellow dog is chasing fish around a opnd.,1
5274,A golden haired dog wlking through shallow water,A golde dog is taking a nap in the living room.,2
5275,A golden haired odg walking through shallow water,A pyellow dog is in a body of water.,0
5276,Children blay in a water sculpture on the sidewalk.,Kids digging coins out of the ofuntain.,1
5277,Children play in a water sculptBure on the sidewalk.,KNids playing.,0
5278,Children play in a water sculpture on the sidefalk.,A man pets a kat.,2
5279,"An Asian woman in a gireen sayri is accompanied by two men as she climbs a long, steep flight of steps.",The womamn is leading the men to an ancient temple.,1
5280,"An Asian woman in a gren sari is accompanied by two mOen as she climbs a long, steep flight of steps.",A woman is teaching the two mJen how to water ski.,2
5281,"An Asian woman in a green sari is accompanied by tw men as she climbs a long, steep flihgt of steps.",Peole are climbing stairs.,0
5282,A large dog awlking through water,The dog is waking home.,1
5283,A large dog waling through water,The odg is running wildly.,2
5284,A large dog walkirg through water,There is a dog in the watre.,0
5285,Two dogs play with a etnnis ball in the snow.,Two Bogs play outside.,0
5286,Gwo dogs play with a tennis ball in the snow.,XTwo dogs wearing sweaters are playing.,1
5287,Two dosg play with a tennis ball in the snow.,Two dolgs play with a baseball in the rain.,2
5288,A baseball player arGgues with the catcher.,Two wpeople are yelling at each other.,0
5289,A baseball plyaer argues with the catcher.,The playeAr doesn't think the catcher got him out.,1
5290,A baseball player argues with the qcatcher.,A paddle boat ailing up the river.,2
5291,People climb up and down a long outdoor fligyht of stairs going up to a mountain.,People are wlking outdoors.,0
5292,People climb up and down a lonx outdoor flight of stairs going up to a mountain.,People are clRmbing to and from a popular ski slope.,1
5293,People climb up and down a long outdooBr flight of stairs going up to a mountain.,A dragon breathed fire onto a mountain and those that weren't burwed alive are runing from the melted snow in terror.,2
5294,Workers kneel down in a tsone pathway.,Workers are in Xonstruction.,1
5295,Workers kneel down in a sone pathway.,No one is kReeling.,2
5296,Workers kneel down in a stIne pathway.,geople are outside.,0
5297,Three people are crouched down colse to the ground with orange buckets beside them.,Three dogs are crouched down closne to the ground with orange buckets beside them.,2
5298,Three people are crouched down close to the ground with ornge buckets beside them.,Three people are crouched down clse to the ground with buckets beside them.,0
5299,Three jeople are crouched down close to the ground with orange buckets beside them.,Three people are crouched down close to the osft ground with orange buckets beside them.,1
5300,hTree people wearing hats and all with orange tubs are working on brickwork on the ground.,"There are three peYople in this picture, and they are all working.",0
5301,Three people wearing hats and all with orange tubs are working on brickwork on the grounhd.,"The men are construction workers, trying to fCix the cracked sidewalk in the older section of town.",1
5302,Three people wearing hats and all with orange tubs are working on brickwork on the grounid.,The emn are all playing chess and checkers at the local park.,2
5303,Three peole working on the ground work.,pople are working on a scorching hot day.,1
5304,Three peope working on the ground work.,Trhee people are working.,0
5305,Three people working on the ground wrok.,People are sitting in a hotel lobyb.,2
5306,Fou cheerleaders in a row are being thrown into the air simultaneously by four separate men.,Thre are cheerleaders flying through the air.,0
5307,Four cheerleaders in a row are being thXrown into the air simultaneously by four separate men.,The feur men were born without arms.,2
5308,Four cheerleaders in a row are being thrown into the air simultaneously by four separatve men.,he cheerleaders are women.,1
5309,A roadside produce tand covered with sheets and two men shopping.,itWO MEN BUY PRODUCE AT A stand.,0
5310,A roadside produce stand covered with Nsheets and two men shopping.,Two men egt ingredients for a salad.,1
5311,A roadside psroduce stand covered with sheets and two men shopping.,Tw men ride unicycles.,2
5312,A small girl holding a covlorful yellow and orange box by a string.,Phe girl is holding the box by a string.,0
5313,A small girl holding a colorful yellow and orange bx by a string.,Xhe girl just received the box as a present.,1
5314,A small girl holding a colorful yellow and orange dox by a string.,whe box has an elephant in it.,2
5315,Two men are deep in discussion nOext to a produce stand.,Tow men are arguing.,1
5316,TJo men are deep in discussion next to a produce stand.,Two men are watching T.,2
5317,Two meBn are deep in discussion next to a produce stand.,Two man are talking.,0
5318,Two men conducting busness over a fruit and vegetable stand.,Two men are neaC some food.,0
5319,Two men conducting business over a fruit and veGetable stand.,Two emn are discussing the price of eggplant.,1
5320,Two men conducting business over a fruit and egetable stand.,Tce men are chopping fruit and vegetables over a counter in a kitchen.,2
5321,Two men stand in front of a shbaby vegetable stand.,The brothers make ends meet by selling veugetables from their garden.,1
5322,Two me stand in front of a shabby vegetable stand.,Two men are iburning down a house.,2
5323,Two men stand in frot of a shabby vegetable stand.,Two mne are near a small structure.,0
5324,A female artist showing her paintiag and signing a paper.,he painting is mostly blue.,1
5325,A female artist showing her painting and singing a paper.,The artist is howing her painting.,0
5326,A female artist showing her painpting and signing a paper.,The aortist is showing a sculpture.,2
5327,A woman writing on a notepad near a portrait oudtoors,The owman is writing a book.,1
5328,A wSoman writing on a notepad near a portrait outdoors,A owman is in outside.,0
5329,A woman writing on a notepad near a portrait outdomrs,The womaRn is painting indoors.,2
5330,"Standing man on phone with seated woman writing, near artNist's outdoor display.",The woman is wrting a lab report.,1
5331,"Standing man on phone with seated woman writing, near artist's outdqoor display.",The seated waoman moves her hands as she writes.,0
5332,"Standing man on phone with seated woman writing, nsear artist's outdoor display.",The man and oman are both indoors.,2
5333,A woman drawinDg portrait while a man on a cellphone watches.,A woman drawing portrait while anoteh woman on a cellphone watches.,2
5334,A woman drawing portrait while a amn on a cellphone watches.,A woman is draLing a portrait,0
5335,A woman drawing portrait while a man on a cellphone watces.,The woman is drawing a eortrait of the man on the phone.,1
5336,A mn on a phone and woman sitting near a painting.,A husband and wife are sZtting.,1
5337,A man on a phone and woman sitting near a pianting.,People are sittinBg.,0
5338,A man on a phfone and woman sitting near a painting.,A husband and wife are danYcing in a museum.,2
5339,white btird sitting in water spreading its wings,The bird is about to fLly away.,1
5340,white bird sitting in wter spreading its wings,The ibrd is sitting in a tree.,2
5341,white bird sitting in wateFr spreading its wings,A bir is sitting in the water.,0
5342,People watc a fire from their balcony.,peolpe seeing the fire spreading,1
5343,People watPh a fire from their balcony.,eople are throwing sand,2
5344,People watch a wire from their balcony.,People watching fire from the balcoyn,0
5345,A white duck bpreads its wings while in the water.,The duck follwos her ducklings around the water.,1
5346,A white dHuck spreads its wings while in the water.,The duc is in the water.,0
5347,A white udck spreads its wings while in the water.,The duck wJalks on the grass by the lake.,2
5348,Two men and a woman watching smok pour from a nearby building.,ThXe apartment building is on fire.,1
5349,Two men and a womna watching smoke pour from a nearby building.,People watch a paradB.,2
5350,wTo men and a woman watching smoke pour from a nearby building.,BHystanders watch a building on fire.,0
5351,Three people are standing on a fire Oescape.,The three people are inside playing crads.,2
5352,Three people are standiQg on a fire escape.,The thee people are at their apartment.,1
5353,Three poeple are standing on a fire escape.,The three peple are outside.,0
5354,White duck flappig its wings in the water.,A duck spalshing around.,0
5355,White duck flapiping its wings in the water.,The duVk is next to the water.,2
5356,Whixe duck flapping its wings in the water.,A duck trying to singal other ducks.,1
5357,People are standing on a fire escape watching black smoke Cbillow in the distance.,TWe people are standing outside watching the rain come down.,2
5358,People are standing on a fire kescape watching black smoke billow in the distance.,Tmhe smoke is rising into the sky.,0
5359,People are standing on a fire escap watching black smoke billow in the distance.,Rhe people are watching a fire.,1
5360,Two young flower girls tsand hand-in-hand by a white carriage pulled by two black horses.,Two old en stand holding hands.,2
5361,Two yhung flower girls stand hand-in-hand by a white carriage pulled by two black horses.,Two young flower gils stand holding hands.,0
5362,Two young flower girls stand hand-in-hand by a white carriage pulld by two black horses.,Two young sisters stand holdnig hands.,1
5363,An older Zman having his beard shaved by a younger man in front of a crowd of people in a elcture hall.,An elder man is having his bear shaved by a young man in front of a crowd in a lectre hall.,0
5364,An older man having his bzard shaved by a younger man in fIront of a crowd of people in a lecture hall.,A man is having his bxeard shaved.,1
5365,An older man having his beard shaved by a younger man in rfont of a crow of people in a lecture hall.,A man plays with his bearFd.,2
5366,"In front of a seated crowd, a man with a gray beard receives a beard tri from a younger man in a zblack shirt.","In front of a standing crowd, a man receives a beard trim from a yonuger man.",2
5367,"In front of a seatNd crowd, a man with a gray beard receies a beard trim from a younger man in a black shirt.",A abrber shaves a customer,1
5368,"IJn front of a seated crowd, a man with a gray beard receives a beard trim from a younger man in a nblack shirt.",A man gets his beard rtimmed.,0
5369,"Qn front of a seated crowd, a man with a gray beard receives a breard trim from a younger man in a black shirt.",An old man with a top hat gets his beard trimmed by a bOy.,1
5370,"In front of a seated crowd, a man with a gray bear receives a beard trim from a younger man in a blacb shirt.",A man gets a haircut from a girl in a black shivt.,2
5371,"In front of a seated crowd, a man with a gray beard receEves a beard rtim from a younger man in a black shirt.",nA older man gets his beard trimmed by a person in a black shirt.,0
5372,"In front of a seated crowd, a man with a gray beard receies a beNrd trim from a younger man in a black shirt.","In front of a standing crowd, a young man with a black beard erceives a beard trim from a younge man in a white shirt.",2
5373,"Ik front of a seated crowd, a man with a gray beard reecives a beard trim from a younger man in a black shirt.","In front of a crowd, a man with a beard recevies a shaving from a younger man.",0
5374,"In front of a seated rcowd, a man with a gray beard receives a beard trim from a younger man in a blac shirt.","In front of a seated crowd, a man receives a beard trim during a hir cutting class.",1
5375,"In front of a seated crowd, a man with a gray beard receives a beard trim from a younger man in a balck smhirt.",A man visting a braber shop.,1
5376,"In front of a seated crowed, a man with a gray beard receives a beard trim from a younger maK in a black shirt.",A guy is about to slit another ugy's throat,2
5377,"In front of a seated crowd, a man with a gray beard rmceives a bearQ trim from a younger man in a black shirt.",A womJan gets her hair styled.,2
5378,"n front of a seated crowd, a man with a gray beard receives a beard trim from a younger man in a blacm shirt.","In ront of a seated crowd, a man is having his beard trimmed.",0
5379,"In front of a seated crowd, a man with a gray beard recFives a beard trm from a younger man in a black shirt.",A mn gets his facial hair trimmed,0
5380,"In front of a seated crowd, a mn with a gray beard receives a ebard trim from a younger man in a black shirt.","In front of a inspired crowd, a middle-aged man with a gra beard rceeives a beard trim from a younger man in a black shirt.",1
5381,A worekr in an orange work suit is kneeling down inspecting a piece of machinery.,The worker is wearing rCd.,2
5382,A worer in an orange work suit is kneeling down inspecting a piece of machinery.,There is something Trong with the machine.,1
5383,A owrker in an orange work suit is kneeling down inspecting a piece of machinery.,A workre is wearing orange.,0
5384,A crowd in an lauditorium is watching as an older man is having his facial hair trimmed by anothr man.,The 2 men on stage are relVated.,1
5385,A crowd in an auditorium is watching as an older mYan is having his facial hair trimmed by another maa.,a mVan shaves himself alone,2
5386,A crowd in an auditorium is watching as an older man is having his fwacial air trimmed by another man.,A man having his bead cut in front of an audience.,0
5387,A crowd in an auditoriLm is watching as an older mna is having his facial hair trimmed by another man.,the man is at home sleeping aloen,2
5388,A rowd in an auditorium is watching as an older man is having his facial hair trimmde by another man.,A crowd is watching a man have his facial hair rimmed.,0
5389,A crowd in an auditorium is watching as an Volder mn is having his facial hair trimmed by another man.,a man Zoes to his favorite barber,1
5390,A crowd in an auditorium is watching as an older Jman is having his facial air trimmed by another man.,There are multiple peopNle present.,0
5391,A crowd in an auditorium is wtaching as an older man is having his facial hair trimmed by another mn.,A barbeSr practicing hair cuts in front of students.,1
5392,A crowd in an auditorium is watching as an older man is having his facial hair trimmed by angther ma.,There is no rcowd in the auditorium.,2
5393,A crowd in an auditorium is watching as an older mLn is having his facial hair trimmed by another mn.,the ma is a farmer,1
5394,A crowd in an auditorium is watching as an older mn is having his facial hair trifmmed by another man.,A man's facial hair is attackin the crowd.,2
5395,A crowd in an auditorium is watching as an older iman is having his facial hair trimmed by anothee man.,Tche man getting his hair trimmed is a volunteer from the crowd.,1
5396,A crowd in an auditoLrium is watching as an older man is having his facial hair trimmed by anothjer man.,a man shaves another majn,0
5397,A cRowd in an auditorium is watching as an older man is having his afcial hair trimmed by another man.,A man performing magic tricks at a child's birthday arty.,2
5398,A crowd in an auditorium is watching as an older xan is having his facial hair trmimed by another man.,a amn is being trimmed,0
5399,A beUarded man getting shaved in a public auditorium.,The myn is getting his beard removed because it is itchy.,1
5400,A bearded man pgetting shaved in a public auditorium.,The man is getting hair gemoved.,0
5401,A bearded man getting shaevd in a public auditorium.,NThe man is getting his eyebrows shaved in a pool.,2
5402,A man working on a pmachine.,bhere is a man working,0
5403,A mna working on a machine.,There is a man buyinpg a machine,2
5404,A man pworking on a machine.,There is a iman working outdoors on a machine,1
5405,Brown-haired woman walking and staring at dcamera.,WomaE with sunglasses on.,1
5406,Brown-haired womar walking and staring at camera.,sWoman sitting on a bench.,2
5407,Brown-haired woamn walking and staring at camera.,Womna talking and staring at the camera.,0
5408,A man with a brown jacekt and a womaI with a pink jacket are facing each other in front of a metal building.,The man in the jacket is facing a womna.,0
5409,A man with a krown jacket and a woman with a pink jacket are facing each other in front of a metal builAing.,The man and womaqn are in front of a brick building.,2
5410,A gman with a brown jacket and a woman with a pink jacket are facign each other in front of a metal building.,The womamn is holding the hands of the man.,1
5411,"A Zan and a woman wearing coats are fuacing standing outside facing each other, but not looking at each other.",A married couple are nkaed,2
5412,"A man and a woman wearing coats are fbcing standing outsbide facing each other, but not looking at each other.",The man and woman are wearnig coats,0
5413,"A man and a boman wearing coats are facing tsanding outside facing each other, but not looking at each other.",A married couple are wearinT coats,1
5414,A woman in a lonwg pink trench coat speak with a man in a brown parka.,The wman and man know each other,1
